date,price,open,high,low,close,volume,return
2012-01-02,1389.41,1400.0,1404.2,1379.68,1389.41,20798166240,-0.00759061825606022
2012-01-03,1382.68,1389.41,1391.97,1376.75,1382.68,14200292711,-0.004856717223659348
2012-01-04,1389.73,1382.68,1404.35,1376.45,1389.73,16763377543,0.005083694548886294
2012-01-05,1387.38,1389.73,1391.25,1383.85,1387.38,6378949958,-0.0016884539922149217
2012-01-06,1390.49,1387.38,1395.03,1385.44,1390.49,7326146849,0.0022370599120370553
2012-01-09,1396.48,1390.49,1403.84,1387.35,1396.48,19758677410,0.0042965310630040075
2012-01-10,1399.69,1396.48,1405.31,1394.07,1399.69,10188603551,0.0022986572825286866
2012-01-11,1397.25,1399.69,1401.77,1392.4,1397.25,9471028017,-0.0017483567688491826
2012-01-12,1406.13,1397.25,1416.53,1392.82,1406.13,25418906231,0.006335044885609186
2012-01-13,1412.78,1406.13,1427.53,1399.84,1412.78,16398563507,0.004721205149664999
2012-01-16,1414.73,1412.78,1426.35,1407.81,1414.73,8685297540,0.0013815164411123092
2012-01-17,1410.95,1414.73,1419.98,1398.74,1410.95,5893280852,-0.0026808980807178917
2012-01-18,1411.37,1410.95,1412.3,1410.55,1411.37,4432162412,0.0003006014731319704
2012-01-19,1411.36,1411.37,1415.49,1401.75,1411.36,3325273713,-5.680184130609943e-06
2012-01-20,1412.53,1411.36,1414.11,1410.69,1412.53,8823088135,0.0008241657593542261
2012-01-23,1408.26,1412.53,1414.15,1404.48,1408.26,13521762005,-0.0030277805427618987
2012-01-24,1409.64,1408.26,1428.24,1400.29,1409.64,4706816643,0.0009828008311359555
2012-01-25,1411.25,1409.64,1422.61,1404.78,1411.25,6757950438,0.0011428406046952383
2012-01-26,1412.77,1411.25,1418.64,1408.74,1412.77,6191872690,0.001073275937477035
2012-01-27,1418.39,1412.77,1434.82,1405.76,1418.39,14136064597,0.003970626589245588
2012-01-30,1416.72,1418.39,1430.58,1388.31,1416.72,4503691775,-0.0011747167240595793
2012-01-31,1413.0,1416.72,1420.27,1404.76,1413.0,10422718944,-0.0026316975300177386
2012-02-01,1426.28,1413.0,1441.34,1406.6,1426.28,22698210161,0.009350866659604756
2012-02-02,1419.29,1426.28,1432.01,1405.98,1419.29,15698862304,-0.004909279324267164
2012-02-03,1417.63,1419.29,1420.47,1414.88,1417.63,4911122191,-0.0011699613188369657
2012-02-06,1418.04,1417.63,1419.42,1417.04,1418.04,3470121711,0.00028579738680185835
2012-02-07,1414.28,1418.04,1422.83,1403.11,1414.28,13379980082,-0.002655411177134023
2012-02-08,1416.82,1414.28,1421.13,1412.43,1416.82,5465479379,0.0017943827354369455
2012-02-09,1420.32,1416.82,1423.65,1415.39,1420.32,6712072698,0.002471886685468877
2012-02-10,1414.65,1420.32,1423.0,1408.42,1414.65,12213756165,-0.0040017990579278425
2012-02-13,1415.02,1414.65,1417.95,1413.4,1415.02,3244234060,0.0002649807035760014
